overnight_snow,commute_snow,mid_day_snow,total_snow,has_ice,min_temp,max_wind_gust,avg_humidity,avg_dew_point,min_pressure,date,target
0.07,0.14,0.0,0.21000000000000002,0,-2.3,52.6,66.375,-5.229166666666667,989.8,2021-02-03,0
3.29,1.19,0.21000000000000002,4.9,0,-2.2,29.2,85.875,-1.8624999999999998,1007.3,2021-02-11,3
0.21000000000000002,0.0,0.0,0.21000000000000002,0,-3.5,20.2,70.70833333333333,-6.8125,1011.8,2021-02-12,0
0.77,4.2,5.6,10.92,0,-4.0,27.4,79.54166666666667,-5.9750000000000005,1010.3,2021-02-18,3
0.56,0.42000000000000004,0.49,1.47,0,-3.5,37.4,82.45833333333333,-3.6875,1005.7,2021-02-19,3
1.19,0.07,0.0,1.26,0,-1.9,40.3,59.958333333333336,-6.595833333333334,1010.1,2019-12-11,0
1.61,1.54,0.0,3.22,0,0.6,37.1,89.08333333333333,-0.2125,1006.6,2019-12-16,3
0.0,0.0,2.31,5.04,0,-3.0,28.8,82.08333333333333,-2.7125,998.5,2020-01-07,3
0.0,0.21,0.0,0.21,0,-2.3,72.0,61.333333333333336,-6.370833333333334,1002.9,2020-01-08,3
0.0,0.0,0.0,0.0,0,-5.2,30.2,62.583333333333336,-7.7124999999999995,1020.4,2020-01-09,0
0.0,0.0,0.0,0.0,0,-3.0,54.7,53.666666666666664,-9.304166666666667,1017.3,2020-01-17,0
